"","quarter","mean_ROA"
"1",1990 Q1,NA
"2",1990 Q2,NA
"3",1990 Q3,NA
"4",1990 Q4,NA
"5",1991 Q1,NA
"6",1991 Q2,NA
"7",1991 Q3,NA
"8",1991 Q4,NA
"9",1992 Q1,NA
"10",1992 Q2,NA
"11",1992 Q3,NA
"12",1992 Q4,NA
"13",1993 Q1,NA
"14",1993 Q2,NA
"15",1993 Q3,NA
"16",1993 Q4,NA
"17",1994 Q1,NA
"18",1994 Q2,NA
"19",1994 Q3,NA
"20",1994 Q4,NA
"21",1995 Q1,NA
"22",1995 Q2,NA
"23",1995 Q3,NA
"24",1995 Q4,NA
"25",1996 Q1,NA
"26",1996 Q2,NA
"27",1996 Q3,11.738728644847
"28",1996 Q4,9.41460223822258
"29",1997 Q1,8.44497346232592
"30",1997 Q2,10.5021679413443
"31",1997 Q3,12.7227940766974
"32",1997 Q4,13.9522289752308
"33",1998 Q1,21.4169960967487
"34",1998 Q2,21.987283677883
"35",1998 Q3,20.5236516767255
"36",1998 Q4,16.8803907940671
"37",1999 Q1,11.7666901017117
"38",1999 Q2,13.4688726333455
"39",1999 Q3,13.6771128803396
"40",1999 Q4,13.9707356922756
"41",2000 Q1,14.1354596435822
"42",2000 Q2,12.8738463613476
"43",2000 Q3,11.1468396845331
"44",2000 Q4,11.7504748163753
"45",2001 Q1,11.8282231416727
"46",2001 Q2,12.3453125336701
"47",2001 Q3,13.3512179997109
"48",2001 Q4,11.7636482486908
"49",2002 Q1,10.8150269513676
"50",2002 Q2,10.2442603791205
"51",2002 Q3,9.20499374516714
"52",2002 Q4,9.27644274728183
"53",2003 Q1,9.57070180813255
"54",2003 Q2,9.50233012329418
"55",2003 Q3,9.15396809851279
"56",2003 Q4,8.9186132037771
"57",2004 Q1,8.88714150679311
"58",2004 Q2,8.72009304297888
"59",2004 Q3,8.76280935634184
"60",2004 Q4,9.12228589415923
"61",2005 Q1,8.57172216643542
"62",2005 Q2,8.81346600997834
"63",2005 Q3,8.89307749154457
"64",2005 Q4,8.22701844705928
"65",2006 Q1,7.96075731045978
"66",2006 Q2,7.89344631840767
"67",2006 Q3,8.06452396017035
"68",2006 Q4,7.80754907602046
"69",2007 Q1,7.74918827450732
"70",2007 Q2,7.33930609953137
"71",2007 Q3,6.75084565391627
"72",2007 Q4,7.65797995896259
"73",2008 Q1,8.69754666814915
"74",2008 Q2,10.4474957466197
"75",2008 Q3,11.0308369444102
"76",2008 Q4,10.554392165286
"77",2009 Q1,10.2512979855081
"78",2009 Q2,10.8956103258277
"79",2009 Q3,11.5782979342068
"80",2009 Q4,12.1330129656205
"81",2010 Q1,12.1218823021172
"82",2010 Q2,11.5472240008697
"83",2010 Q3,10.9858739158421
"84",2010 Q4,9.92348675605992
"85",2011 Q1,9.50004885534958
"86",2011 Q2,10.5509145896931
"87",2011 Q3,11.6476280576233
"88",2011 Q4,12.3420256461163
"89",2012 Q1,13.1915913406219
"90",2012 Q2,14.5818471942013
"91",2012 Q3,14.8309484328311
"92",2012 Q4,13.2257355740772
"93",2013 Q1,10.9005114537807
"94",2013 Q2,9.25302365026112
"95",2013 Q3,8.2764772358666
"96",2013 Q4,8.31290399180769
"97",2014 Q1,8.44896915964712
"98",2014 Q2,9.52971182484044
"99",2014 Q3,9.75986468333113
"100",2014 Q4,9.88407637361184
"101",2015 Q1,9.06297799419313
"102",2015 Q2,9.61094487940265
"103",2015 Q3,9.89168345502349
"104",2015 Q4,9.13258913524601
"105",2016 Q1,9.48731902113662
"106",2016 Q2,10.4297500515688
"107",2016 Q3,10.8194687724068
"108",2016 Q4,10.4645185316752
"109",2017 Q1,10.0765062959925
"110",2017 Q2,9.9518865889633
"111",2017 Q3,9.40262066742165
"112",2017 Q4,8.92480970860919
"113",2018 Q1,7.93241923311782
"114",2018 Q2,7.65685343958551
"115",2018 Q3,7.56430815481206
"116",2018 Q4,7.65342949479558
"117",2019 Q1,7.49051480868408
"118",2019 Q2,7.13092759252988
"119",2019 Q3,6.8658938729578
"120",2019 Q4,6.66696192983675
"121",2020 Q1,6.06872061905984
"122",2020 Q2,6.70090824132621
